Supplier Name,Product Name,Product Type,Price,Unit of Measure,Delivery Method,Image ( Link ),,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Recycled Road Base – 20mm minus (Contains only concrete),Road Base,$55.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Dust - 7mm minus,Sands,$40.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,10mm Recycled Aggregate,aggregates,$60.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,20mm Recycled Aggregate,aggregates,$60.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Natural 10mm Drainage Aggregate (Blue Metal),aggregates,$100.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Natural 20/70mm Drainage Aggregate (Blue Metal),aggregates,$100.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Turf Underlay – 15mm minus,Sands,$100.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Clean Concrete with No Steel (i.e. Reo) ‘Less than 0.5m x 0.5m in size,Concrete,$28.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,"Clean Concrete containing Reo/Steel and/or Clean Large Concrete, Brick or Sandstone ‘0.5m to 1m in size’",Concrete,$38.50 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,"Marble, Granite, Travertine",Stone,$60.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Terracotta/Concrete Tiles,N/A,$35.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,Porcelain or Ceramic Tiles,N/A,$130.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,"Soil, Clay, Sand - Stone/Rock in load under 150mm",Mix,$85.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,"Mixture of Concrete, Brick, Bitumen or Sandstone with Soil, Road Base and/or Sand LESS THAN HALF THE LOAD CONTAINING FINES",Mix,$100.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
Gow Street Recycking Centre,"Mixture of Concrete, Brick, Bitumen or Sandstone with Soil, Road Base and/or Sand HALF OR MORE OF THE LOAD CONTAINING FINES",Mix,$130.00 ,Tonne,Ex-bin,,,,,,,,,,,,,,,,,,,,
