Product Name,Product Type,Unit of Measure,Delivery Method
"Soil, Clay, Sand - Stone/Rock in load under 150mm",Mix,tonne,Ex-bin
"Mixture of Concrete, Brick, Bitumen or Sandstone with Soil, Road Base and/or Sand LESS THAN HALF THE LOAD CONTAINING FINES",Mix,tonne,Ex-bin
"Mixture of Concrete, Brick, Bitumen or Sandstone with Soil, Road Base and/or Sand HALF OR MORE OF THE LOAD CONTAINING FINES",Mix,tonne,Ex-bin
Clean Concrete with No Steel (i.e. Reo) ‘Less than 0.5m x 0.5m in size,Concrete,tonne,Ex-bin
"Clean Concrete containing Reo/Steel and/or Clean Large Concrete, Brick or Sandstone ‘0.5m to 1m in size’",Concrete,tonne,Ex-bin
Concrete with no reo allowed in load. ‘Less than 0.5m x 0.5m in size’,Concrete,tonne,Ex-bin
"Marble, Granite, Travertine",Stone,tonne,Ex-bin
Terracotta/Concrete Tiles,N/A,tonne,Ex-bin
Porcelain or Ceramic Tiles,N/A,tonne,Ex-bin
Chipped Mulch,Mulch,tonne,Ex-bin
Recycled Road Base – 20mm minus (Contains only concrete),Road Base,tonne,Ex-bin
Dust - 7mm minus,Sand,tonne,Ex-bin
10mm Recycled Aggregate,N/A,tonne,Ex-bin
20mm Recycled Aggregate,N/A,tonne,Ex-bin
Natural 10mm Drainage Aggregate (Blue Metal),N/A,tonne,Ex-bin
Natural 20/70mm Drainage Aggregate (Blue Metal),N/A,tonne,Ex-bin
Turf Underlay – 15mm minus,Sand,tonne,Ex-bin
3/5 mm Washed aggregate,Road Base,tonne,Ex-bin
10/7 mm Aggregate,Road Base,tonne,Ex-bin
20/14 mm Aggregate,Road Base,tonne,Ex-bin
Agg Blend 10/7 +20/14 (70/30),Road Base,tonne,Ex-bin
40/10 mm Drainage Aggregate,Road Base,tonne,Ex-bin
40mm Drainage,Road Base,tonne,Ex-bin
Coarse Washed Sand,Sand,tonne,Ex-bin
Fine Washed Sand,Sand,tonne,Ex-bin
McCloskey Sand (Fill Sand),Sand,tonne,Ex-bin
Ballast (40-63 mm),Road Base,tonne,Ex-bin
Ballast (40-100mm),Road Base,tonne,Ex-bin
Gabion Rock,Road Base,tonne,Ex-bin
40mm Select Fil,Road Base,tonne,Ex-bin
70mm Select Fill,Road Base,tonne,Ex-bin
General Fill,Road Base,tonne,Ex-bin
DGS20,Road Base,tonne,Ex-bin
N2020,Concrete,m3,Ex-bin
N2520,Concrete,m3,Ex-bin
N3220,Concrete,m3,Ex-bin
N4020,Concrete,m3,Ex-bin
Blue metal Aggregate 10mm,Road Base,tonne,Ex-bin
Blue metal Aggregate 14mm,Road Base,tonne,Ex-bin
Blue metal Aggregate 20mm,Road Base,tonne,Ex-bin
Blue metal Aggregate 5-7mm,Road Base,tonne,Ex-bin
Blue metal Aggregate 63mm (20-63mm),Road Base,tonne,Ex-bin
Blue metal dust,Road Base,tonne,Ex-bin
Blue Metal Dust Stabilised 4% 24:1 (mix includes 2x20kg cement),Road Base,tonne,Ex-bin
Blue Metal Dust Stabilised 8% 12:1 (mix includes 4x20kg cement),Road Base,tonne,Ex-bin
Blue Metal Dust Stabilised 8% 12:1 (mix includes 4x20kg cement),Road Base,tonne,Ex-bin
lue Metal Gabion 75-150mm,Road Base,tonne,Ex-bin
Blue Metal Gabion 90-250mm,Road Base,tonne,Ex-bin
Cold Mix 7mm,Road Base,tonne,Ex-bin
Concrete Blend (Blue Metal & Sand Mix),Road Base,tonne,Ex-bin
Concrete Blend 20kg 10mm,Road Base,tonne,Ex-bin
Corefill 5mm,Road Base,tonne,Ex-bin
Crushed Terracotta Tile 20mm,Road Base,tonne,Ex-bin
Crusher Dust Recycled Concrete,Road Base,tonne,Ex-bin
Crusher Dust Stabilised 10% 10:1 (mix includes 5x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 12% 8:1 (mix includes 6x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 16% 6:1 (mix includes 8x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 2% 40:1 (mix includes 1x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 20% 5:1 (mix includes 10x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 4% 24:1 (mix includes 2x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 6% 16:1 (mix includes 3x20kg cement),Road Base,tonne,Ex-bin
Crusher Dust Stabilised 8% 12:1 (mix includes 4x20kg cement),Road Base,tonne,Ex-bin
Decomposed Granite Brown Pink 2 % 40:1 (mix includes 1x20kg cement),Road Base,tonne,Ex-bin
Hot Mix Asphalt 10mm (2 hour working time) 1 Tonne,Road Base,tonne,Ex-bin
Hot Mix Asphalt 14mm (2 hour working time) 1 Tonne,Road Base,tonne,Ex-bin
Hot Mix Asphalt 7mm (2 hour working time) 1 Tonne,Road Base,tonne,Ex-bin
Recycled Aggregate 10mm,Road Base,tonne,Ex-bin
Recycled Aggregate 20mm,Road Base,tonne,Ex-bin
Roadbase DGB20 Special Edition Stabilised 2% 40:1 (mix includes 1x20kg cement),Road Base,tonne,Ex-bin
Roadbase Recycled DGB20 (RMS 3051),Road Base,tonne,Ex-bin
Roadbase Recycled Stabilised 10% 10:1 (mix includes 5x20kg cement),Road Base,tonne,Ex-bin
Roadbase Recycled Stabilised 14% 14:1 (7 x 20kg bags cement),Road Base,tonne,Ex-bin
Roadbase Recycled Stabilised 2% 40:1 (mix includes 1x20kg cement),Road Base,tonne,Ex-bin
Roadbase Recycled Stabilised 4% 24:1 (mix includes 2x20kg cement),Road Base,tonne,Ex-bin
Roadbase Recycled Stabilised 6% 16:1 (mix includes 3x20kg cement),Road Base,tonne,Ex-bin
Roadbase Recycled Stabilised 8% 12:1 (mix includes 4x20kg cement),Road Base,tonne,Ex-bin
Roadbase Virgin,Road Base,tonne,Ex-bin
Roadbase Virgin Stabilised 12% 8:1 (mix includes 6x20kg cement),Road Base,tonne,Ex-bin
Roadbase Virgin Stabilised 16% 6:1 (mix includes 8x20kg cement),Road Base,tonne,Ex-bin
Roadbase Virgin Stabilised 2% 40:1 (mix includes 1x20kg cement),Road Base,tonne,Method of Delivery
Roadbase Virgin Stabilised 4% 24:1 (mix includes 2x20kg cement),Road Base,MPA,Delivery
Roadbase Virgin Stabilised 6% 16:1 (mix includes 3x20kg cement),Road Base,tonne,Ex-bin
Roadbase Virgin Stabilised 6% 16:1 Bulk Bag (mix includes cement),Road Base,tonne,Ex-bin
Roadbase Virgin Stabilised 8% 12:1 (mix includes 4x20kg cement),Road Base,tonne,Ex-bin
Siltstop with Blue Metal 14kg,Road Base,tonne,Ex-bin
White Brickies Sand - Maroota,sand,tonne,Ex-bin
Yellow Brickies Sand,sand,tonne,Ex-bin
ACI Dry Sand Holusil 4005 Kiln Dried Sand,sand,tonne,Ex-bin
Ash Filter Material 7mm Minus (Ton=1.6m3),sand,tonne,Ex-bin
Filling Sand Hessian 20kg,sand,tonne,Ex-bin
Filling Sand Premium,sand,tonne,Ex-bin
Filling Sand Stabilised 10% 10:1 (mix includes 5x20kg cement),sand,tonne,Ex-bin
Filling Sand Stabilised 4% 24:1 (mix includes 2x20kg cement),sand,tonne,Ex-bin
Filling Sand Stabilised 6% 16:1 (mix includes 3x20kg cement),sand,tonne,Ex-bin
Paving and Drainage Sand S32 Washed,sand,tonne,Ex-bin
Play Sand Yellow Certified Soft Fall Sand,sand,tonne,Ex-bin
River Sand Manufactured (Grey),sand,tonne,Ex-bin
River Sand Manufactured Stabilised 10% 10:1 (mix includes 5x20kg cement),sand,tonne,Ex-bin
River Sand Manufactured Stabilised 6% 16:1 (mix includes 3x20kg cement),sand,tonne,Ex-bin
River Sand Manufactured Stabilised 8% 12:1 (mix includes 4x20kg cement),sand,tonne,Ex-bin
River Sand Natural (Brown),sand,tonne,Ex-bin
Siltstop with Filling Sand Premium Green 11Kg,sand,tonne,Ex-bin
