Supplier Name,Product Name,Product Type,Price
Edwards Landscaping Supplies (Wynyard),Stoodley Roadbase 1/2 m3,Road Base,$55.00
Edwards Landscaping Supplies (Wynyard),Birralee Cream Roadbase 1/2 m3,Road Base,$55.00
Edwards Landscaping Supplies (Wynyard),Lee Rock Roadbase 1/2 m3,Road Base,$51.00
Edwards Landscaping Supplies (Wynyard),All in Bluemetal Roadbase,Road Base,$26.00
Edwards Landscaping Supplies (Wynyard),10mm Bluemetal 1/2 m3,Road Base,$52.00
Edwards Landscaping Supplies (Wynyard),20mm Bluemetal 1/2 m3,Road Base,$52.00
Paradise Group – Landscape Supplies & Nursery,Brickies Sand 0.5 m3,Sands,$63.00
Paradise Group – Landscape Supplies & Nursery,Certified Soft Fall Sand 0.5 m3,Sands,$74.00
Paradise Group – Landscape Supplies & Nursery,Course Washed Sand 1-2mm 0.5 m3,Sands,$64.00
Paradise Group – Landscape Supplies & Nursery,Cracker Dust 0.5 m3,Sands,$40.00
Paradise Group – Landscape Supplies & Nursery,Fill Sand 0.5 m3,Sands,$40.00
Paradise Group – Landscape Supplies & Nursery,Hornsfel 20mm 0.5 m3,Sands,$160.00
Paradise Group – Landscape Supplies & Nursery,Hornsfel 40mm 0.5 m3,Sands,$91.00
Rural Garden Supplies Humpty Doo,General Fill,Sands,$33.00
Rural Garden Supplies Humpty Doo,Granite Cracker Dust,Sands,$40.00
Rural Garden Supplies Humpty Doo,Ultra Fine Washed Sand/Brickies Sand,Sands,$52.00
Rural Garden Supplies Humpty Doo,Fines Washed Sand,Sands,$50.00
Rural Garden Supplies Humpty Doo,Medium Washed Sand,Sands,$50.00
Rural Garden Supplies Humpty Doo,Coarse Washed Sand,Sands,$57.00
Rural Garden Supplies Humpty Doo,Fill Sand,Sands,$36.00
HALS Tasmania (Horticultural & Landscape Supplies),Coarse Propagation Sand - White,Sands,$90.00
HALS Tasmania (Horticultural & Landscape Supplies),Coarse Propagation Sand - Yellow,Sands,$67.00
HALS Tasmania (Horticultural & Landscape Supplies),Washed Bedding Sand,Sands,$97.00
HALS Tasmania (Horticultural & Landscape Supplies),Washed Sharp Sand,Sands,$57.00
HALS Tasmania (Horticultural & Landscape Supplies),Fat Sand - Yellow,Sands,$54.00
HALS Tasmania (Horticultural & Landscape Supplies),Screened Bedding,Sands,$44.00
Stoneman's Garden Centre (Glenorchy),Sand Coarse 1/4 m3 Per Scoop,Sands,$59.00
Stoneman's Garden Centre (Glenorchy),Sand Sharp 1/4 m3 Per Scoop,Sands,$84.00
TasMulch (Longford),Paving Sand,Sands,$40.00
TasMulch (Longford),Tasmulch Turf Sand,Sands,$60.00
TasMulch (Longford),Beach Sand,Sands,$60.00
TasMulch (Longford),Quartz Sand,Sands,$60.00
Werribee Sand-Soil & Mini Mix Concrete,White/Yellow,Sands,$87.00
Werribee Sand-Soil & Mini Mix Concrete,White Lite Brick Sand,Sands,$104.00
Werribee Sand-Soil & Mini Mix Concrete,Washed Concrete Sand,Sands,$74.00
Werribee Sand-Soil & Mini Mix Concrete,Fine White Sand,Sands,$104.00
Werribee Sand-Soil & Mini Mix Concrete,Packing Sand,Sands,$54.00
Werribee Sand-Soil & Mini Mix Concrete,Kiln Dried Sand,Sands,$194.00
Werribee Sand-Soil & Mini Mix Concrete,PVC Edging 4.2,Sands,$14.00
McCahills Landscaping & Supplies,Course Sand,Sands,$16.00
McCahills Landscaping & Supplies,Play Pit Sand,Sands,$16.00
McCahills Landscaping & Supplies,Fine Sand,Sands,$20.00
McCahills Landscaping & Supplies,Silica Sand,Sands,$26.00
McCahills Landscaping & Supplies,Top Dress Sand,Sands,$22.00
Werribee Sand-Soil & Mini Mix Concrete,Washed Concrete Sand,Sands,$74.00
Werribee Sand-Soil & Mini Mix Concrete,Fine White Sand,Sands,$104.00
Werribee Sand-Soil & Mini Mix Concrete,Packing Sand,Sands,$54.00
Werribee Sand-Soil & Mini Mix Concrete,Kiln Dried Sand,Sands,$194.00
Gow Street Recycling Centre,Natural 10mm Drainage Aggregate (Blue Metal),aggregates,$100.00
Gow Street Recycling Centre,Natural 20/70mm Drainage Aggregate (Blue Metal),aggregates,$100.00
Walker Quarries,3/5 mm Washed aggregate,aggregates,$28.00
Walker Quarries,10/7 mm Aggregate,aggregates,$34.00
Walker Quarries,20/14 mm Aggregate,aggregates,$34.00
Walker Quarries,Agg Blend 10/7 +20/14 (70/30),aggregates,$35.00
Walker Quarries,40/10 mm Drainage Aggregate,aggregates,$30.00
Elite Group,10mm Blue Metal loose,aggregates,$85.00
Elite Group,10mm Blue Metal bulk,aggregates,$107.00
Kincumber Sand & Soil,Plumbers Mix 7-10mm 1 tonne,aggregates,$97.00
Kincumber Sand & Soil,Drainage Mix 14-20mm 1 tonne,aggregates,$94.00
Kincumber Sand & Soil,1/4 Minus ( Fine road base ) 1 tonne,aggregates,$82.00
Kincumber Sand & Soil,Metal Slab Fill ( Fill Road Base ) 1 tonne,aggregates,$68.00
Kincumber Sand & Soil,Drainage Ash 1 m3,aggregates,$90.00
Peel Resource Recovery – Pinjarra,Crushed Concrete 0-20mm,aggregates,$16.00
Peel Resource Recovery – Pinjarra,Crushed Concrete 20-40mm,aggregates,$25.00
Glebe Gardens Landscape Supplies (Launceston),Metal Dust,aggregates,$37.00
Glebe Gardens Landscape Supplies (Launceston),Road base,aggregates,$44.00
Stoneman's Garden Centre (Glenorchy),Concrete Mix 1/4 m3,aggregates,$116.00
TasMulch (Longford),Road Base,aggregates,$35.00
TasMulch (Longford),Crusher Dust,aggregates,$29.00
TasMulch (Longford),Blue Metal Ballast 40mm,aggregates,$49.00
TasMulch (Longford),Blue Metal,aggregates,$49.00
TasMulch (Longford),Quarry Rock 100mm-200mm,aggregates,$40.00
TasMulch (Longford),White Crusher Dust,aggregates,$39.00
TasMulch (Longford),Concrete Mix,aggregates,$40.00
TasMulch (Longford),Sub Base 50-100mm,aggregates,$40.00
TasMulch (Longford),White Pebbles,aggregates,$100.00
TasMulch (Longford),Birralee Cream,aggregates,$67.00
TasMulch (Longford),Birralee Cream Path/Road Base,aggregates,$58.00
TasMulch (Longford),River Pebbles 30mm,aggregates,$142.00
TasMulch (Longford),Pink Rock,aggregates,$80.00
TasMulch (Longford),Ice Rock,aggregates,$67.00
TasMulch (Longford),Chocolate Rock,aggregates,$94.00
TasMulch (Longford),River Pebbles Oversize,aggregates,$142.00
TasMulch (Longford),Road Base 20mm,aggregates,$35.00
TasMulch (Longford),Class 3 Base 20mm (Scalps),aggregates,$40.00
TasMulch (Longford),Ice Rock Road Base,aggregates,$46.00
TasMulch (Longford),Improved top Soil,aggregates,$40.00
TasMulch (Longford),Decomposed Granite,aggregates,$80.00
TasMulch (Longford),Ice Rock Drive,aggregates,$54.00
TasMulch (Longford),Ice Rock Path,aggregates,$54.00
Capital Recycling – Postans,R7 20mm Aggregate,aggregates,$15.00
Capital Recycling – Postans,R8 14mm Aggregate,aggregates,$18.00
Capital Recycling – Postans,R9 10mm Aggregate,aggregates,$22.00
